dataset,method,hyperparam,val_split,accuracy_mean,accuracy_std,accuracy_count,precision_macro_mean,precision_macro_std,precision_macro_count,recall_macro_mean,recall_macro_std,recall_macro_count,f1_macro_mean,f1_macro_std,f1_macro_count,fpr_macro_mean,fpr_macro_std,fpr_macro_count
cifar100,Dropout,0.5,val0.895,0.018080000000000002,0.003873786548355785,10,0.004374267684347488,0.0031508892922449856,10,0.0181483632941564,0.0039523864282639655,10,0.003925301420372943,0.0009188258805006349,10,0.009918536398000131,3.699036710125843e-05,10
cifar100,Ising,0.1,val0.1,0.6416000000000001,0.11360871445448192,5,0.6393278624560843,0.11897571800957217,5,0.6422957766294216,0.11163217190918771,5,0.6333089215253762,0.11984675501323654,5,0.0036201095324126715,0.0011476496678860472,5
cifar100,Ising,0.1,val0.6,0.23172,0.016173833463000938,10,0.21704293588571288,0.01651346899083754,10,0.2322055610219246,0.015807049084170913,10,0.20401894045408991,0.01675718255713175,10,0.007760563765499886,0.00016320683543909556,10
cifar100,Ising,0.1,val0.8,0.14482,0.005351178478719537,10,0.13137489635888683,0.007444210914875255,10,0.14561184675791541,0.005437650815966315,10,0.119020090829835,0.006036699946205985,10,0.008638572730341066,5.4115141422142984e-05,10
cifar100,Ising,0.1,val0.895,0.03728,0.003591595126897736,10,0.01690480413588668,0.002686807496981859,10,0.037181300152157745,0.003635199501631148,10,0.01634510760683979,0.002105978236577536,10,0.009725365227714612,3.526928144209935e-05,10
cifar100,Ising,0.5,val0.1,0.47763999999999995,0.023362962140961483,5,0.48347601108253013,0.025178640784005193,5,0.4773270112883286,0.026696303606230046,5,0.4524696304583693,0.025932305314709598,5,0.005276524233932203,0.0002363867137810247,5
cifar100,Ising,0.5,val0.6,0.2537,0.01083174347308256,10,0.24636096437561372,0.012650800593584793,10,0.2539352500048325,0.010625303105918724,10,0.22609690665231338,0.011250589208423159,10,0.007538790284166703,0.00010904956684472116,10
cifar100,Ising,0.5,val0.8,0.13422,0.00427442003863292,10,0.11894934071831757,0.007612456830916287,10,0.13517680488565711,0.004622281755799658,10,0.10430275931674586,0.005543061179390292,10,0.008745352635301209,4.282004675220701e-05,10
cifar100,Ising,0.5,val0.895,0.03424,0.003140842066849094,10,0.008559826248973404,0.0027948498082229524,10,0.03374414154670148,0.003241697289019467,10,0.010531033342000728,0.0019173752028456557,10,0.009757145002090767,3.066522887737792e-05,10
fashionmnist,Dropconnect,0.1,val0.6,0.9023,0.004477515845661335,10,0.9024996809949768,0.004592657862728753,10,0.902384000079628,0.004470213537659495,10,0.9021814068722772,0.004569086360115499,10,0.01085629789119349,0.0004990602288858234,10
