dataset,method,hyperparam,val_split,run_idx,file,accuracy,precision_macro,recall_macro,f1_macro,fpr_macro,n_samples
mnist,Ising,0.1,val0.6,6,C:\My Files\repos\Likelihood-guided-regularization-for-transformers\checkpoints_bulk_LM_saliency_scores_train1_ising70_ft0_do0.0_dc0.1_bdo_0.0_archived_20251015_134034\mnist\LM_saliency_scores\val0.6\mc_posterior_quantiles_model_0_run6.csv,0.9585,0.9579120984789334,0.9577896014301974,0.9577787278552062,0.004603144650900396,6000
mnist,Ising,0.1,val0.6,7,C:\My Files\repos\Likelihood-guided-regularization-for-transformers\checkpoints_bulk_LM_saliency_scores_train1_ising70_ft0_do0.0_dc0.1_bdo_0.0_archived_20251015_134034\mnist\LM_saliency_scores\val0.6\mc_posterior_quantiles_model_0_run7.csv,0.9595,0.9586969101623535,0.9587516735367794,0.9586590534837164,0.004492400845220386,6000
mnist,Ising,0.1,val0.6,8,C:\My Files\repos\Likelihood-guided-regularization-for-transformers\checkpoints_bulk_LM_saliency_scores_train1_ising70_ft0_do0.0_dc0.1_bdo_0.0_archived_20251015_134034\mnist\LM_saliency_scores\val0.6\mc_posterior_quantiles_model_0_run8.csv,0.954,0.9535036256734456,0.9533337935959626,0.953347294058512,0.005103447857091719,6000
mnist,Ising,0.1,val0.6,9,C:\My Files\repos\Likelihood-guided-regularization-for-transformers\checkpoints_bulk_LM_saliency_scores_train1_ising70_ft0_do0.0_dc0.1_bdo_0.0_archived_20251015_134034\mnist\LM_saliency_scores\val0.6\mc_posterior_quantiles_model_0_run9.csv,0.953,0.95227546966637,0.9527392025498447,0.9523995390074669,0.005211567369853733,6000
fashionmnist,Ising,0.1,val0.895,0,C:\My Files\repos\Likelihood-guided-regularization-for-transformers\checkpoints_bulk_LM_saliency_scores_train1_ising70_ft0_do0.0_dc0.1_bdo_0.0_archived_20251015_134034\fashionmnist\LM_saliency_scores\val0.895\mc_posterior_quantiles_model_0_run0.csv,0.596,0.6062257481372589,0.5965383500393627,0.5830924896128079,0.04494294784584207,6000
fashionmnist,Ising,0.1,val0.895,1,C:\My Files\repos\Likelihood-guided-regularization-for-transformers\checkpoints_bulk_LM_saliency_scores_train1_ising70_ft0_do0.0_dc0.1_bdo_0.0_archived_20251015_134034\fashionmnist\LM_saliency_scores\val0.895\mc_posterior_quantiles_model_0_run1.csv,0.589,0.5880216811942889,0.591373071619729,0.585676463616457,0.045699462476116046,6000
fashionmnist,Ising,0.1,val0.895,2,C:\My Files\repos\Likelihood-guided-regularization-for-transformers\checkpoints_bulk_LM_saliency_scores_train1_ising70_ft0_do0.0_dc0.1_bdo_0.0_archived_20251015_134034\fashionmnist\LM_saliency_scores\val0.895\mc_posterior_quantiles_model_0_run2.csv,0.5875,0.5707903255460304,0.5856711412649368,0.5626371855821721,0.045855737166270935,6000
fashionmnist,Ising,0.1,val0.895,3,C:\My Files\repos\Likelihood-guided-regularization-for-transformers\checkpoints_bulk_LM_saliency_scores_train1_ising70_ft0_do0.0_dc0.1_bdo_0.0_archived_20251015_134034\fashionmnist\LM_saliency_scores\val0.895\mc_posterior_quantiles_model_0_run3.csv,0.5801666666666667,0.5745348591466735,0.5805756657692468,0.5719052988372687,0.04664993356041669,6000
fashionmnist,Ising,0.1,val0.895,4,C:\My Files\repos\Likelihood-guided-regularization-for-transformers\checkpoints_bulk_LM_saliency_scores_train1_ising70_ft0_do0.0_dc0.1_bdo_0.0_archived_20251015_134034\fashionmnist\LM_saliency_scores\val0.895\mc_posterior_quantiles_model_0_run4.csv,0.5846666666666667,0.5852420247058521,0.5842023118086398,0.5718473217809535,0.046163494481823816,6000
fashionmnist,Ising,0.1,val0.895,5,C:\My Files\repos\Likelihood-guided-regularization-for-transformers\checkpoints_bulk_LM_saliency_scores_train1_ising70_ft0_do0.0_dc0.1_bdo_0.0_archived_20251015_134034\fashionmnist\LM_saliency_scores\val0.895\mc_posterior_quantiles_model_0_run5.csv,0.6145,0.6080170522994528,0.6130294552941792,0.6058374197914858,0.042849227982625714,6000
fashionmnist,Ising,0.1,val0.895,6,C:\My Files\repos\Likelihood-guided-regularization-for-transformers\checkpoints_bulk_LM_saliency_scores_train1_ising70_ft0_do0.0_dc0.1_bdo_0.0_archived_20251015_134034\fashionmnist\LM_saliency_scores\val0.895\mc_posterior_quantiles_model_0_run6.csv,0.55,0.5172169052891298,0.5464221641072291,0.5093462576010594,0.05007762571205099,6000
fashionmnist,Ising,0.1,val0.895,7,C:\My Files\repos\Likelihood-guided-regularization-for-transformers\checkpoints_bulk_LM_saliency_scores_train1_ising70_ft0_do0.0_dc0.1_bdo_0.0_archived_20251015_134034\fashionmnist\LM_saliency_scores\val0.895\mc_posterior_quantiles_model_0_run7.csv,0.5781666666666667,0.5778838396962029,0.5783646540907545,0.5660976095312484,0.04683402741641292,6000
fashionmnist,Ising,0.1,val0.895,8,C:\My Files\repos\Likelihood-guided-regularization-for-transformers\checkpoints_bulk_LM_saliency_scores_train1_ising70_ft0_do0.0_dc0.1_bdo_0.0_archived_20251015_134034\fashionmnist\LM_saliency_scores\val0.895\mc_posterior_quantiles_model_0_run8.csv,0.5761666666666667,0.5861697827146625,0.5761892812102823,0.5725254528159055,0.04710846744419777,6000
fashionmnist,Ising,0.1,val0.895,9,C:\My Files\repos\Likelihood-guided-regularization-for-transformers\checkpoints_bulk_LM_saliency_scores_train1_ising70_ft0_do0.0_dc0.1_bdo_0.0_archived_20251015_134034\fashionmnist\LM_saliency_scores\val0.895\mc_posterior_quantiles_model_0_run9.csv,0.5771666666666667,0.583971955736063,0.5808789189117348,0.5728502861545535,0.04698186608891371,6000
fashionmnist,Ising,0.1,val0.8,0,C:\My Files\repos\Likelihood-guided-regularization-for-transformers\checkpoints_bulk_LM_saliency_scores_train1_ising70_ft0_do0.0_dc0.1_bdo_0.0_archived_20251015_134034\fashionmnist\LM_saliency_scores\val0.8\mc_posterior_quantiles_model_0_run0.csv,0.836,0.8356339396815482,0.8360638739628315,0.8352051325244043,0.018223968196203512,6000
fashionmnist,Ising,0.1,val0.8,1,C:\My Files\repos\Likelihood-guided-regularization-for-transformers\checkpoints_bulk_LM_saliency_scores_train1_ising70_ft0_do0.0_dc0.1_bdo_0.0_archived_20251015_134034\fashionmnist\LM_saliency_scores\val0.8\mc_posterior_quantiles_model_0_run1.csv,0.8273333333333334,0.8300743325792,0.8290491843191236,0.826953470600728,0.0192193764811673,6000
fashionmnist,Ising,0.1,val0.8,2,C:\My Files\repos\Likelihood-guided-regularization-for-transformers\checkpoints_bulk_LM_saliency_scores_train1_ising70_ft0_do0.0_dc0.1_bdo_0.0_archived_20251015_134034\fashionmnist\LM_saliency_scores\val0.8\mc_posterior_quantiles_model_0_run2.csv,0.8321666666666667,0.8319333787427011,0.8324317661189633,0.8308515682158216,0.01863664127965774,6000
fashionmnist,Ising,0.1,val0.8,3,C:\My Files\repos\Likelihood-guided-regularization-for-transformers\checkpoints_bulk_LM_saliency_scores_train1_ising70_ft0_do0.0_dc0.1_bdo_0.0_archived_20251015_134034\fashionmnist\LM_saliency_scores\val0.8\mc_posterior_quantiles_model_0_run3.csv,0.8305,0.8284592636031443,0.829933600412956,0.8283292066461747,0.01884803937641958,6000
